Date,High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz)
2010-09-28 0:00,801.21,677.92,762.45,,24.92,21.09,23.71
2010-08-29 0:00,696.69,605.7,684.15,,21.67,18.84,21.28
2010-07-30 0:00,621.94,563.59,614.71,,19.34,17.53,19.12
2010-06-30 0:00,605.39,557.32,565.97,,18.83,17.33,17.6
2010-05-31 0:00,622.91,554.04,595.13,,19.37,17.23,18.51
2010-05-01 0:00,639.47,549.28,590.88,,19.89,17.08,18.38
2010-04-01 0:00,605.23,561.66,600.4,,18.82,17.47,18.67
2010-03-02 0:00,568.74,524.36,563.24,,17.69,16.31,17.52
2010-01-31 0:00,546.39,471.43,530.27,,16.99,14.66,16.49
2010-01-01 0:00,608.44,514.56,521.96,,18.92,16,16.23
2009-12-02 0:00,626.61,538.03,544.14,,19.49,16.73,16.92
2009-11-02 0:00,619.05,522.11,614.69,,19.25,16.24,19.12
2009-10-03 0:00,583.85,518.09,526.26,,18.16,16.11,16.37
2009-09-03 0:00,569.7,492.86,520.51,,17.72,15.33,16.19
2009-08-04 0:00,498.97,434.02,495.25,,15.52,13.5,15.4
2009-07-05 0:00,466.25,400.92,460.32,,14.5,12.47,14.32
2009-06-05 0:00,503.16,431.14,432.11,,15.65,13.41,13.44
2009-05-06 0:00,513.45,421.5,492.07,,15.97,13.11,15.31
2009-04-06 0:00,421.5,385.17,421.5,,13.11,11.98,13.11
2009-03-07 0:00,442.39,405.42,413.46,,13.76,12.61,12.86
2009-02-05 0:00,462.65,398.67,432.75,,14.39,12.4,13.46
2009-01-06 0:00,402.21,337.9,398.67,,12.51,10.51,12.4
2008-12-07 0:00,362.98,304.15,355.91,,11.29,9.46,11.07
2008-11-07 0:00,334.69,294.82,304.15,,10.41,9.17,9.46
2008-10-08 0:00,377.45,285.5,334.69,,11.74,8.88,10.41
2008-09-08 0:00,430.18,342.73,374.23,,13.38,10.66,11.64
2008-08-09 0:00,506.7,408.96,408.96,,15.76,12.72,12.72
2008-07-10 0:00,620.51,506.7,506.7,,19.3,15.76,15.76
2008-06-10 0:00,588.68,524.38,572.93,,18.31,16.31,17.82
2008-05-11 0:00,583.21,533.7,561.35,,18.14,16.6,17.46
2008-04-11 0:00,596.72,520.52,545.6,,18.56,16.19,16.97
2008-03-12 0:00,672.59,538.2,589,,20.92,16.74,18.32
2008-02-11 0:00,668.74,544.96,651.05,,20.8,16.95,20.25
2008-01-12 0:00,552.67,500.59,544.96,,17.19,15.57,16.95
2007-12-13 0:00,516.34,441.91,516.34,,16.06,13.74,16.06
2007-11-13 0:00,486.76,445.61,470.53,,15.14,13.86,14.64
2007-10-14 0:00,508.62,429.21,486.76,,15.82,13.35,15.14
2007-09-14 0:00,443.36,400.92,443.36,,13.79,12.47,13.79
2007-08-15 0:00,410.24,375.2,400.92,,12.76,11.67,12.47
2007-07-16 0:00,428.89,407.99,410.24,,13.34,12.69,12.76
2007-06-16 0:00,428.89,394.17,421.98,,13.34,12.26,13.13
2007-05-17 0:00,440.79,413.46,419.89,,13.71,12.86,13.06
2007-04-17 0:00,453,418.6,423.1,,14.09,13.02,13.16
2007-03-18 0:00,453,420.21,453,,14.09,13.07,14.09
2007-02-16 0:00,468.76,405.26,420.21,,14.58,12.6,13.07
2007-01-17 0:00,449.47,403.49,449.47,,13.98,12.55,13.98
2006-12-18 0:00,441.43,392.56,412.82,,13.73,12.21,12.84
2006-11-18 0:00,451.72,409.92,441.43,,14.05,12.75,13.73
2006-10-19 0:00,418.76,371.98,409.92,,13.02,11.57,12.75
2006-09-19 0:00,380.99,345.3,378.09,,11.85,10.74,11.76
2006-08-20 0:00,422.78,344.01,352.69,,13.15,10.7,10.97
2006-07-21 0:00,400.28,345.3,386.13,,12.45,10.74,12.01
2006-06-21 0:00,377.77,324.4,356.23,,11.75,10.09,11.08
2006-05-22 0:00,422.14,312.51,326.33,,13.13,9.72,10.15
2006-04-22 0:00,480.33,391.76,399.63,,14.94,12.19,12.43
2006-03-23 0:00,460.08,337.58,391.76,,14.31,10.5,12.19
2006-02-21 0:00,338.55,305.11,338.55,,10.53,9.49,10.53
2006-01-22 0:00,318.61,286.95,306.72,,9.91,8.93,9.54
2005-12-23 0:00,295.47,269.58,291.93,,9.19,8.38,9.08
2005-11-23 0:00,296.59,258.81,269.58,,9.22,8.05,8.38
2005-10-24 0:00,262.51,238.56,262.51,,8.16,7.42,8.16
2005-09-24 0:00,252.7,232.29,244.35,,7.86,7.23,7.6
2005-08-25 0:00,238.64,216.7,234.38,,7.42,6.74,7.29
2005-07-26 0:00,233.25,223.77,223.93,,7.25,6.96,6.97
2005-06-26 0:00,234.22,221.36,228.59,,7.29,6.89,7.11
2005-05-27 0:00,242.1,227.63,234.22,,7.53,7.08,7.29
2005-04-27 0:00,233.58,220.23,227.63,,7.27,6.85,7.08
2005-03-28 0:00,234.22,222.48,233.58,,7.29,6.92,7.27
2005-02-26 0:00,243.38,222.32,222.97,,7.57,6.91,6.94
2005-01-27 0:00,242.74,208.5,232.85,,7.55,6.49,7.24
2004-12-28 0:00,224.09,205.44,216.05,,6.97,6.39,6.72
2004-11-28 0:00,258.49,214.93,221.36,,8.04,6.69,6.89
2004-10-29 0:00,247.24,226.5,246.6,,7.69,7.04,7.67
2004-09-29 0:00,239.2,209.94,226.98,,7.44,6.53,7.06
2004-08-30 0:00,217.34,197.08,211.87,,6.76,6.13,6.59
2004-07-31 0:00,219.27,206.41,214.61,,6.82,6.42,6.68
2004-07-01 0:00,215.57,188.89,206.41,,6.7,5.88,6.42
2004-06-01 0:00,198.61,181.01,190.01,,6.18,5.63,5.91
2004-05-02 0:00,198.21,176.67,198.21,,6.17,5.5,6.17
2004-04-02 0:00,266.53,179.08,191.3,,8.29,5.57,5.95
2004-03-03 0:00,255.28,212.03,255.28,,7.94,6.59,7.94
2004-02-02 0:00,220.55,195.48,220.55,,6.86,6.08,6.86
2004-01-03 0:00,213.8,192.1,200.14,,6.65,5.97,6.23
2003-12-04 0:00,192.42,174.1,192.42,,5.98,5.42,5.98
2003-11-04 0:00,175.86,158.58,175.86,,5.47,4.93,5.47
2003-10-05 0:00,166.7,154.81,162.68,,5.18,4.82,5.06
2003-09-05 0:00,170.96,160.75,163.33,,5.32,5,5.08
2003-08-06 0:00,165.74,156.57,161.24,,5.16,4.87,5.02
2003-07-07 0:00,164.61,149.66,160.11,,5.12,4.65,4.98
2003-06-07 0:00,149.66,144.12,149.66,,4.65,4.48,4.65
2003-05-08 0:00,156.41,144.04,145.64,,4.86,4.48,4.53
2003-04-08 0:00,154.16,140.98,153.04,,4.79,4.38,4.76
2003-03-09 0:00,150.3,140.5,140.98,,4.67,4.37,4.38
2003-02-07 0:00,153.52,144.44,150.06,,4.78,4.49,4.67
2003-01-08 0:00,158.42,152.15,153.52,,4.93,4.73,4.78
2002-12-09 0:00,157.86,147.25,155.61,,4.91,4.58,4.84
2002-11-09 0:00,149.58,142.43,149.58,,4.65,4.43,4.65
2002-10-10 0:00,147.49,138.09,147.49,,4.59,4.3,4.59
2002-09-10 0:00,149.42,140.02,140.02,,4.65,4.36,4.36
2002-08-11 0:00,151.27,142.11,145.8,,4.71,4.42,4.53
