Date,Price D,3 Month D,1 Yr D,5 Yr D,10 Yr D,US Dollar D
2006-11-01,0.22,-0.11,-0.08,-0.06,-0.04,-2.40
2006-12-01,2.92,-0.07,-0.09,0.02,0.00,0.80
2007-01-01,-7.21,0.24,0.18,0.14,0.14,0.89
2007-02-01,4.48,0.18,0.12,0.01,0.08,-1.04
2007-03-01,1.34,-0.07,0.01,0.11,0.13,-0.64
2007-04-01,3.35,-0.35,-0.24,-0.13,-0.15,-1.48
2007-05-01,-0.45,0.09,0.27,0.56,0.56,0.85
2007-06-01,3.98,-0.01,-0.22,-0.36,-0.33,-0.38
2007-07-01,6.53,-0.42,-0.27,-0.23,-0.10,-1.15
2007-08-01,-1.64,-0.52,-0.54,-0.44,-0.38,0.02
2007-09-01,7.23,0.03,-0.01,0.03,0.04,-3.07
2007-10-01,6.29,-0.78,-0.74,-0.68,-0.56,-1.24
2007-11-01,9.00,-0.13,-0.07,-0.01,0.13,-0.33
2007-12-01,-3.15,-0.35,-0.63,-0.60,-0.48,0.55
2008-01-01,1.24,-0.50,-0.52,-0.07,0.14,-1.52
2008-02-01,2.39,-0.85,-0.49,-0.28,-0.22,-1.47
2008-03-01,9.96,0.09,0.27,0.48,0.33,-1.91
2008-04-01,7.27,0.37,0.22,0.17,0.03,0.71
2008-05-01,13.04,0.21,0.46,0.48,0.40,0.37
2008-06-01,8.27,-0.31,-0.24,-0.33,-0.27,-0.42
2008-07-01,-0.03,0.17,-0.01,-0.02,0.05,0.77
2008-08-01,-17.26,-0.66,-0.35,-0.39,-0.37,4.15
2008-09-01,-12.18,-0.44,-0.47,-0.15,0.13,2.07
2008-10-01,-27.85,-0.48,-0.40,-0.55,-0.47,6.18
2008-11-01,-19.46,-0.14,-0.49,-0.61,-0.86,0.89
2008-12-01,-16.50,0.09,-0.07,0.00,-0.02,-5.21
2009-01-01,0.98,0.16,0.19,0.33,0.44,4.69
2009-02-01,-2.56,-0.06,0.05,0.04,0.09,2.01
2009-03-01,8.91,-0.07,-0.12,-0.04,-0.03,-2.58
