Date, Price - D ,Wheat - D,Copper - D,Corn - D
2012-12-01,1.501883117,1.754783349,1.762166612,0.676511682
2013-01-01,6.461180124,1.052101263,-8.743469612,0.214453167
2013-02-01,0.642391304,-16.42138005,10.32852514,-12.84646992
2013-03-01,-2.176904762,-14.8282336,-0.29443307,-5.390189339
2013-04-01,-1.099004329,-16.53173384,-18.29168193,-0.749870748
2013-05-01,2.699604743,-8.336729704,24.40950798,6.968864599
2013-06-01,1.070804348,0.828402667,17.95848338,-29.81435865
2013-07-01,8.755717391,11.874885,-11.80808905,15.60412857
2013-08-01,2.001146245,-9.1942675,-50.30129022,1.742938214
2013-09-01,-0.232554113,-9.377985833,5.188794999,-18.09864179
2013-10-01,-5.813374741,1.453045,-30.40960532,-44.07450536
2013-11-01,-6.68805383,-1.426322333,3.834724299,-27.44859268
2013-12-01,4.089891775,20.64994067,12.00709754,-5.710180536
2014-01-01,-2.905750988,-18.37183333,-12.56722025,-2.597548684
2014-02-01,5.707478261,-13.6651446,20.69687899,-1.628995533
2014-03-01,-0.130666667,-16.13221937,25.20212626,1.218539966
2014-04-01,1.60530303,12.81792221,25.1869315,10.58403094
2014-05-01,-0.175454545,32.81421239,-1.154802,13.03689763
2014-06-01,3.238722944,0.769867302,-18.0306585,0.037493537
2014-07-01,-2.255817805,11.53051254,-64.76892326,-5.455309694
2014-08-01,-6.604658385,-26.26297317,-30.24853524,-14.34127806
2014-09-01,-3.032337662,-23.09999563,-64.1352535,-20.33930671
2014-10-01,-8.949090909,-9.391903889,-14.40896968,-5.812435638
2014-11-01,-8.6985,-17.98689968,24.90394655,-13.34769932
2014-12-01,-16.60193478,-0.446173095,-0.563242243,0.243707993
2015-01-01,-11.49592885,5.262989902,-11.28950183,15.3304458
2015-02-01,3.113863636,18.87091843,-2.752876682,0.004411004
2015-03-01,-2.933863636,-21.83742917,-5.143678482,-3.91807466
2015-04-01,6.42,-11.27933873,-2.669883136,-1.036005639
2015-05-01,5.058744589,0.949357895,-4.9761468,0.534955639
2015-06-01,0.542164502,-6.760198413,2.873524357,-2.142244388
2015-07-01,-8.642806324,-2.714657087,17.52423965,-5.801187577
2015-08-01,-8.298405797,6.6188705,-25.3249192,0.46347125
2015-09-01,2.618030303,-0.617961667,-23.46785125,12.79466964
2015-10-01,0.715,-25.69988841,3.865246364,-16.86783121
2015-11-01,-3.543982684,-9.448371429,-8.337479564,3.33692483
2015-12-01,-5.411076605,1.382261746,4.233041257,5.370949235
2016-01-01,-5.536542443,-7.647102957,-0.110978281,-5.356149154
2016-02-01,-1.356190476,6.089076053,-3.074867526,-2.088022274
2016-03-01,7.425341615,0.718171667,6.805935341,-2.905524906
2016-04-01,3.188944099,-5.327831667,26.86704116,-1.382031523
2016-05-01,5.883051948,4.776676667,34.70967375,-0.490313214
2016-06-01,1.902727273,-0.673633889,32.71680522,5.238869728
2016-07-01,-3.856731602,-5.826495714,-30.82712922,4.536718027
2016-08-01,-0.142774327,-0.865305397,-20.08522471,10.91061939
2016-09-01,0.418142292,-22.98483367,-14.41448504,-18.08969446
2016-10-01,4.717965368,-5.810291986,2.484574,-11.6076324
2016-11-01,-4.262056277,-4.651154824,9.98641275,-1.703510722
2016-12-01,6.390454545,-0.690256024,6.91568925,4.105542347
2017-01-01,0.545909091,-0.008702447,4.301200025,-1.286028333
2017-02-01,0.841954545,0.296527836,1.282645212,1.398508946
2017-03-01,-3.816717391,14.29941028,-14.77756781,7.282182304
2017-04-01,1.583217391,10.21570627,-18.23374582,2.950428948
2017-05-01,-2.608434783,-0.929942685,2.318676906,-3.983416658
2017-06-01,-3.391837945,-8.023908719,-10.4510774,-2.438667187
2017-07-01,1.506082251,8.032622632,25.72393034,2.059767575
2017-08-01,1.357929607,10.80597833,-20.0420908,-0.6263125
2017-09-01,1.674451346,17.286225,8.449453448,-0.36326125
2017-10-01,1.858354978,-35.48160159,4.415924673,-9.067215536
2017-11-01,5.145909091,-0.637422739,3.133155977,-1.2275725
2017-12-01,1.251926407,-5.068876302,-4.255926537,1.406518929
2018-01-01,5.594575569,4.701439635,-0.284544963,0.069789107
2018-02-01,-1.406956522,9.057313833,14.36342543,0.295261607
2018-03-01,0.711363636,9.284774627,10.66165882,6.82944784
2018-04-01,3.459112554,15.901075,-0.62551775,7.544094397
2018-05-01,3.572132505,8.62969675,-6.420007193,8.615620229
2018-06-01,-2.369751553,-0.542406508,-34.89040981,3.524392517
2018-07-01,3.468506494,12.32742063,-27.39592775,3.578076446
2018-08-01,-3.002667984,0.375389841,4.096770402,-14.03877338
2018-09-01,2.196804348,3.726857619,-10.22601555,-8.586020068
2018-10-01,0.565804348,14.48598138,9.419251699,5.967993064
2018-11-01,-14.18357708,-20.14763709,6.429576946,-7.577255157
2018-12-01,-7.932489177,-2.682815088,8.200406475,5.420561679
2019-01-01,2.722153209,-6.909215789,3.295122525,0.512642616
2019-02-01,3.628608696,6.983445419,0.725895276,6.611672877
2019-03-01,3.167809524,0.309113386,-5.266366776,-0.643639059
2019-04-01,5.722099567,-10.92824793,-4.98227075,2.810041962
2019-05-01,-3.14243083,-13.41005699,-18.94348494,-3.334951486
2019-06-01,-6.056478261,-5.476556032,21.30383024,-4.667945408
2019-07-01,2.831695652,-0.74839373,-1.144900289,9.526767007
2019-08-01,-2.669604743,16.41606817,-10.84356692,23.98776875
2019-09-01,2.018051948,-10.82100983,7.827243184,-5.681549107
2019-10-01,-2.878012422,-14.51374833,17.41771196,-25.85775893
2019-11-01,3.131345756,-2.792518667,-6.913606727,-6.254177679
2019-12-01,2.747251082,6.650603667,1.991814738,9.923357492
2020-01-01,-2.142944664,4.307174259,2.13025975,-0.936008573
2020-02-01,-7.113282609,7.726376574,-11.65139043,0.697231795
2020-03-01,-20.72422727,12.98713647,-6.092158202,4.755117883
2020-04-01,-13.07,-6.010674495,-9.341807364,-3.069536708
2020-05-01,11.98748918,-1.35635114,-0.662917587,-6.565450282
2020-06-01,9.507510823,8.87176627,9.311605156,-15.16698801
2020-07-01,2.447727273,-4.791549103,10.29241142,-3.022916454
2020-08-01,1.614285714,-5.232632167,3.205728761,4.053136607
2020-09-01,-2.75474026,0.851785,34.68342825,4.545239286
2020-10-01,-0.08,3.608355317,20.75044785,-3.194619813
2020-11-01,1.986645022,29.95483683,32.01044337,17.20953367
2020-12-01,5.577722567,-0.71101381,24.06962875,20.163854
